Trait	n
Blond vs. brown/black hair color	1
Blood trace element (Zn levels)	1
BMI at 3 months old	1
BMI at 6 months old	1
BMI at 8 months old	1
BMI at birth	1
Body mass index (change over time) in cancer	1
Body mass index (change over time) in cancer or chronic obstructive pulmonary disease	1
Bone mineral density (hip)	1
Bone mineral density (spine)	1
Bone stiffness index	1
Brain functional connectivity measurement (characteristic path length)	1
Brain functional connectivity measurement (global efficiency)	1
Brain functional connectivity measurement (strength limbic)	1
Brain functional connectivity measurement (strength salience)	1
Brain functional connectivity measurement (strength somatomotor)	1
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node30)	1
Brain rsFMRI measurement (functional connectivity) (Net_Edge_ICA3)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair11_42)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair13_29)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair2_15)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair2_29)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair21_49)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair29_44)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair30_41)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair34_48)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair5_21)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair7_11)	1
Brain rsFMRI measurement (functional connectivity) (Net100_Pair9_29)	1
Brain rsFMRI measurement (functional connectivity) (Net25_Pair10_11)	1
Brain rsFMRI measurement (functional connectivity) (Net25_Pair10_12)	1
Brain rsFMRI measurement (functional connectivity) (Net25_Pair11_12)	1
Brain rsFMRI measurement (functional connectivity) (Net25_Pair12_17)	1
Brain shape (segment 120)	1
Brain shape (segment 122)	1
Brain shape (segment 42)	1
Brain shape (segment 7)	1
Brain shape (segment 80)	1
Bread type: White (UKB data field 1448_1)	1
Bread type: Wholemeal/wholegrain vs white and brown (UKB data field 1448)	1
Brevibacillaceae abundance in stool	1
Brevibacillales abundance in stool	1
Brugada syndrome	1
C-C motif chemokine 15 levels	1
C-C motif chemokine 3 levels	1
C-X-C motif chemokine 16 levels	1
CAG-81 sp000435795 abundance in stool	1
Cardioembolic stroke (CCS and TOAST classification)	1
Cardiorespiratory fitness slope	1
Cardiovascular risk factors	1
Carotid intima media thickness (mean-maximum)	1
Carotid plaque	1
Carotid plaque burden	1
Cathepsin F levels	1
Cathepsin H levels	1
Caudate volume change rate x age interaction (1df)	1
CCL25 levels	1
CD16-CD56 on Natural Killer	1
CD209 antigen levels	1
CD4 on naive CD4+ T cell	1
CD4+ T cell Absolute Count	1
CD45RA- CD4+ T cell Absolute Count	1
CD64 on CD14+ CD16+ monocyte	1
Celiac disease and Rheumatoid arthritis	1
Celiac disease or Rheumatoid arthritis	1
Central Memory CD4+ T cell Absolute Count	1
Cereal type: Biscuit cereal (e.g. Weetabix) (UKB data field 1468_2)	1
Cerebral venous thrombosis	1
Cervical artery dissection	1
Childhood asthma with severe exacerbations	1
Childhood onset type 2 diabetes	1
Cholesterol efflux capacity (ABCA-1 dependent assay)	1
Cholesterol efflux capacity (BHK stimulated assay)	1
Cholesterol efflux capacity (cAMP stimulated assay)	1
Cholesteryl ester (18:0) levels	1
Cholesteryl ester_17:0_[M+NH4]1+ levels	1
Cholesteryl ester_18:1_[M+NH4]1+ levels	1
Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL	1
Chronic obstructive pulmonary disease x current smoker interaction (1df)	1
Chronic obstructive pulmonary disease x ever smoker interaction (1df)	1
Cigarettes smoked per day (current)	1
Cigarettes smoked per day in Schizophrenia	1
Circulating fibroblast growth factor 23 levels	1
Circulating levels of total-tau	1
Cis-4-decenoylcarnitine (C10:1) levels in elite athletes	1
Cisplatin-induced ototoxicity	1
Citrulline levels	1
Cleft lip or cleft lip with cleft palate (pleiotropy)	1
Cleft lip with or without cleft palate (maternal periconceptional vitamin use interaction)	1
Clinical laboratory measurements	1
Clozapine-induced cytotoxicity	1
Coagulation factor levels	1
Cocaine dependence	1
Cognitive function (delayed memory) (longitudinal)	1
Combined resilience (covariance of educational attainment with residual cognitive resilience)	1
Common traits (Other)	1
Conduct disorder (maternal expressed emotions interaction)	1
Congenital heart disease (maternal effect)	1
Conotruncal heart defects (maternal effects)	1
Conscientiousness	1
Copine-1 levels	1
Coronary artery disease in diabetes	1
Coronary artery disease in individuals without type 2 diabetes	1
Coronary artery disease in type 1 diabetes	1
Coronary heart disease x type 2 diabetes interaction	1
Cryptic phenotype that captures autosomal dominant polycystic kidney disease severity	1
Cutaneous lupus erythematosus	1
Cutaneous melanoma (MTAG)	1
CXCL5 levels	1
D-dimer levels	1
Decanoylcarnitine (C10) levels in elite athletes	1
Dentate gyrus molecular layer volume	1
Depression (quantitative trait)	1
Depressive symptom (appetite changes) (binary trait)	1
Depressive symptom (fatigue) (ordinal trait)	1
Depressive symptom (low self-esteem) (ordinal trait)	1
Depressive symptom (sleep problems) (binary trait)	1
Depressive symptoms (binary sum-score)	1
Depressive symptoms (sum-score)	1
Descending aorta distensibility (MTAG)	1
Descending aorta maximum area	1
Descending aorta maximum area (MTAG)	1
Diacylglycerol_36:5_[M+H-H2O]1+ levels	1
diarrhoeal disease at age 1	1
diarrhoeal disease at age 1 with doctor diagnosis	1
diarrhoeal disease at age 2 with doctor diagnosis	1
Diastolic blood pressure (baseline)	1
Differentiated thyroid cancer	1
Diffuse cutaneous systemic sclerosis	1
Disrupted circadian rhythm (low relative amplitude of rest-activity cycles)	1
Disruptive behavior disorder and attention deficit hyperactivity disorder	1
Distal colorectal cancer	1
Distal/Left-sided colorectal cancer	1
Drug-induced liver injury (flucloxacillin)	1
Drusen volume within a central 3 mm circle (model 2)	1
Drusen volume within a central 5 mm circle (model 2)	1
Duodenal ulcer	1
E Cad plasma levels	1
Early cardiac repolarization	1
Eating disorders	1
Electrocardiographic conduction measures	1
Electrodermal activity	1
Electroencephalographic traits in alcoholism	1
Emphysema imaging phenotypes	1
End-stage knee osteoarthritis	1
Endometrial cancer	1
Endometrial cancer (endometrioid histology)	1
Eosinophilic esophagitis	1
Eosinophilic esophagitis (pediatric)	1
Epiandrosterone sulfate levels	1
Epiandrosterone sulfate levels in elite athletes	1
Esterified stigmasterol	1
Executive function	1
Exercise treadmill test traits	1
Externalizing behaviour score	1
F-burn/spicy liking (derived food-liking factor)	1
F-strong alcohol liking (derived food-liking factor)	1
Facial morphology (factor 21, depth of nasal alae)	1
Faecalicatena lactaris abundance in stool	1
Familial squamous cell lung carcinoma	1
FAS plasma levels	1
Fasting triglycerides levels in very large VLDL	1
Fasting very large VLDL particle concentration	1
Fatty acids (20:3)W6 levels	1
Febrile seizures (MMR vaccine-related)	1
Femoral neck size	1
Fibroblast growth factor 19 levels	1
Fibroblast growth factor 23 levels	1
Follicle stimulating hormone in healthy women	1
Gait speed in old age	1
Galactonate levels	1
Galectin-3 levels	1
Gamma-glutamylthreonine levels in elite athletes	1
Gastric parietal cell autoantibody levels in type 1 diabetes	1
Gemcitabine-induced early high-grade neutropenia in pancreatic cancer	1
Gestational age at birth (child effect)	1
Glaucoma (multi-trait analysis)	1
Global electrical heterogeneity phenotypes	1
Globe artichoke liking	1
GM3 ganglioside (d18:1/16:0) levels	1
GM3 ganglioside (d18:1/22:0) levels	1
GM3 ganglioside (d18:1/24:0) levels	1
GM3 ganglioside (d18:1/24:1) levels	1
Gout (normal type)	1
Gout in chronic kidney disease	1
Gut microbiota abundance (family Streptococcaceae id.1850)	1
Gut microbiota abundance (genus Ruminococcus torques group id.14377)	1
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_adolescentis)	1
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_bifidum)	1
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium.s_Bifidobacterium_longum)	1
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae.g_Bifidobacterium)	1
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales.f_Bifidobacteriaceae)	1
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Bifidobacteriales)	1
Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria)	1
Gut microbiota abundance (k_Bacteria.p_Actinobacteria)	1
Gut microbiota presence (family Pseudomonadaceae id.3718)	1
Gut microbiota relative abundance (Dorea)	1
Gut microbiota relative abundance (unclassified genus belonging to family Clostridiaceae)	1
Haloplasmatales abundance in stool	1
Handedness (Right-handed vs. non-right-handed)	1
Haptoglobin levels	1
Hashimoto thyroiditis	1
HDL cholesterol levels in HIV infection	1
Healthspan	1
Hematological parameters	1
Hepatocyte growth factor activator levels	1
High IL-1beta levels in gingival crevicular fluid	1
Hip bone size	1
Hippocampal tail volume	1
Hippocampal volume in Alzheimer's disease dementia	1
HippSubfield lh volume CA4-body	1
HippSubfield lh volume GC-ML-DG-body	1
HippSubfield lh volume Hippocampal-tail	1
HippSubfield lh volume Whole-hippocampal-body	1
HippSubfield lh volume Whole-hippocampus	1
HippSubfield rh volume CA4-body	1
HippSubfield rh volume GC-ML-DG-body	1
HippSubfield rh volume Hippocampal-tail	1
HippSubfield rh volume subiculum-body	1
HippSubfield rh volume Whole-hippocampal-body	1
HippSubfield rh volume Whole-hippocampal-head	1
HIV-1 viral setpoint	1
Hodgkin's lymphoma	1
Holdemania sp900120005 abundance in stool	1
HTLV-1 associated myelopathy	1
Human milk oligosaccharide concentration (difucosyllactose)	1
Human milk oligosaccharide concentration (fucodisialyllacto-N-hexaose)	1
Human milk oligosaccharide concentration (lacto-N-fucopentaose I)	1
Human milk oligosaccharide concentration (lacto-N-fucopentaose II)	1
Human milk oligosaccharide concentration (lacto-N-tetrose)	1
Human milk oligosaccharide concentration (sialyl-lacto-N-tetraose b)	1
Hydroxysphingomyeline C16:1 levels	1
Hydroxysphingomyeline C22:1 levels	1
Ideal cardiovascular health (clinical and behavioral)	1
Ideal cardiovascular health (clinical)	1
Idiopathic achalasia	1
IDP dMRI ProbtrackX ICVF atr r	1
IDP dMRI ProbtrackX L3 fmi	1
IDP dMRI ProbtrackX MD fmi	1
IDP dMRI TBSS ICVF Posterior corona radiata L	1
IDP dMRI TBSS ICVF Posterior thalamic radiation R	1
IDP dMRI TBSS OD Posterior corona radiata R	1
IDP T1 FAST ROIs L hippocampus	1
IDP T1 FAST ROIs R hippocampus	1
IDP T1 FIRST left pallidum volume	1
Immune reponse to smallpox (secreted IL-2)	1
Indolepropionate levels	1
Inflammatory biomarkers	1
Initial pursuit acceleration	1
Insulin disposition index	1
Insulin levels	1
Insulin-like growth factors	1
Interleukin-27 levels	1
Intertrochanteric region size	1
Intestinal permeability measurement	1
Intracerebral hemorrhage	1
Ischemic stroke (large artery atherosclerosis)	1
Ischemic stroke (small artery occlusion)	1
Ischemic stroke (small-vessel)	1
Itch intensity from mosquito bite	1
JC polyomavirus VP1 antibody levels	1
Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	1
Juvenile myoclonic epilepsy	1
Keratinocyte cancer (MTAG)	1
Keratoconus	1
Kiwi liking	1
Knee pain	1
Kynurenine levels	1
Lachnospira rogosae abundance in stool	1
Lactobacillus B abundance in stool	1
Lactobacillus B ruminis abundance in stool	1
Large artery stroke (MTAG)	1
Latent autoimmune diabetes vs. type 2 diabetes	1
Left unilateral cleft lip	1
Left ventricle diastolic internal dimension	1
Left ventricular end-systolic volume	1
Leuconostoc abundance in stool	1
Leuconostoc mesenteroides abundance in stool	1
Leukocyte telomere length	1
Light-intensity physical activity duration	1
Lipid or lipoprotein levels	1
Lipid traits (pleiotropy) (HIPO component 1)	1
Lipoprotein phospholipase A2 activity in cardiovascular disease	1
Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease	1
Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	1
Lipoprotein(a) levels adjusted for apolipoprotein(a) isoforms	1
Lithostathine-1-alpha levels	1
Lobe attachment (rater-scored or self-reported)	1
Low density lipoprotein cholesterol levels (on statin treatment)	1
Low myopia	1
Lung function (FEV1) and waist to hip ratio adjusted for BMI	1
Lung function (FVC) and waist to hip ratio adjusted for BMI	1
Lung function (low FEV1 vs high FEV1)	1
Lung volume	1
Lymphocyte Absolute Count	1
Lysoalkenylphosphatidylethanolamine (P-18:0) levels	1
Major depression and alcohol dependence	1
Major depressive disorder in trauma exposed individuals	1
Major depressive disorder vs ADHD (ordinary least squares (OLS))	1
Major depressive disorder vs anorexia nervosa (ordinary least squares (OLS))	1
Major depressive disorder vs autism spectrum disorder (ordinary least squares (OLS))	1
Malaria	1
Male puberty timing (early vs. average onset voice breaking)	1
Mannose-binding protein C levels	1
Maternal nondisjunction of chromosome 21 (MI error vs fathers)	1
Matrix metalloproteinase-10 levels	1
Mean diameter of VLDL particles	1
Medial thalamic nuclei volume	1
Medication use (drugs for peptic ulcer and gastro-oesophageal reflux disease)	1
Metabolic syndrome (bivariate traits)	1
Metabolite peak levels (QI15502)	1
Migraine and/or diastolic blood pressure	1
Minimum ankle–brachial index	1
Mitochondrial heteroplasmy measurement	1
Mitogen-activated protein kinase 3 levels	1
Mitral valve prolapse after mitral valve surgery	1
Monocyte chemoattractant protein-3 levels	1
Monokine induced by gamma interferon levels	1
Mumps	1
Myeloproliferative neoplasms	1
Myo-inositol levels in elite athletes	1
Myocardial infarction (early onset)	1
Myopia (pathological)	1
N-acetyl neuraminic acid levels	1
N-acetylleucine levels in elite athletes	1
N-acetylvaline levels in elite athletes	1
N1-methyl-2-pyridone-5-carboxamide levels	1
N6-acetyllysine levels in elite athletes	1
Nasopharyngeal carcinoma (SNP x SNP interaction)	1
Negativibacillus abundance in stool	1
Negativibacillus sp000435195 abundance in stool	1
Neuroblastoma or malignant cutaneous melanoma	1
Neuropathic pain in type 2 diabetes	1
New onset hypertension	1
Nicotine dependence symptom count	1
Night sleep phenotypes	1
Non-glioblastoma glioma	1
Nonatopic asthma and/or BMI	1
Nose size	1
Number of children	1
Number of common colds	1
Number of pregnancies	1
O-sulfo-L-tyrosine levels in elite athletes	1
Octanoylcarnitine (C8) levels in elite athletes	1
Ocular disease	1
Odorant perception (&beta;-ionone)	1
Oleoyl-oleoyl-glycerol (18:1/18:1) [2] levels in elite athletes	1
Oral cavity cancer	1
Oranges liking	1
Ornithine levels	1
Oropharynx cancer	1
Oropharynx cancer and human papilloma virus 16 negative oropharyngeal cancer	1
Osteoporosis	1
OTU97_27 (Bacteroides) prevalence	1
OTU97_4 (Alistipes) abundance	1
Palmitoyl-linoleoyl-glycerol (16:0/18:2) [2] levels in elite athletes	1
Pantothenate levels	1
Parasitemia in Tripanosoma cruzi seropositivity	1
Parkinson's disease (motor and cognition)	1
Perinatal depression	1
Periodontal microbiota	1
Peripheral arterial disease (traffic-related air pollution interaction)	1
Peripheral blood CD34+ cell levels	1
Periventricular white matter hyperintensities	1
Phenylalanine levels	1
Phocea abundance in stool	1
Phocea massiliensis abundance in stool	1
Phosphatidylcholines (36:3E)1 levels	1
Phosphatidylcholines (40:5)A levels	1
Physical activity (Relative amplitude)	1
Physical activity (Total log acceleration 6pm-8pm)	1
Physical aggression in schizophrenia	1
Phytosterol levels	1
Plasma anti-thyroglobulin levels	1
Plasma kynurenine levels in major depressive disorder	1
Plasmacytoid Dendritic Cell Absolute Count	1
Platelet reactivity measurement (collagen-ADP)	1
Postoperative venous thromboembolism	1
Pre-treatment viral load in HIV-1 infection	1
Principal component-derived dietary pattern 11	1
Principal component-derived dietary pattern 19	1
Principal component-derived dietary pattern 20	1
Protein biomarker	1
Psoriatic arthritis	1
Pulmonary function	1
Pulse rate	1
QRS complex (Cornell)	1
Radiation response	1
Red wine consumption (glasses per month) (UKB data field 1578, 4419)	1
Residual cognitive resilience	1
Response to allopurinol in gout (change in serum uric acid levels)	1
Response to amphetamines	1
Response to angiotensin II receptor blocker therapy	1
Response to antipsychotic treatment	1
Response to paliperidone in schizophrenia (Multivariate)	1
Response to statins (LDL cholesterol percent change)	1
Response to taxane treatment (placlitaxel)	1
Response to zileuton treatment in asthma (FEV1 change interaction)	1
rfMRI amplitudes (ICA100 node 30)	1
rfMRI amplitudes (ICA25 node 12)	1
rfMRI connectivity (ICA100 edge 1001)	1
rfMRI connectivity (ICA100 edge 1011)	1
rfMRI connectivity (ICA100 edge 1083)	1
rfMRI connectivity (ICA100 edge 1090)	1
rfMRI connectivity (ICA100 edge 1091)	1
rfMRI connectivity (ICA100 edge 1099)	1
rfMRI connectivity (ICA100 edge 237)	1
rfMRI connectivity (ICA100 edge 380)	1
rfMRI connectivity (ICA100 edge 383)	1
rfMRI connectivity (ICA100 edge 387)	1
rfMRI connectivity (ICA100 edge 39)	1
rfMRI connectivity (ICA100 edge 391)	1
rfMRI connectivity (ICA100 edge 399)	1
rfMRI connectivity (ICA100 edge 414)	1
rfMRI connectivity (ICA100 edge 429)	1
rfMRI connectivity (ICA100 edge 43)	1
rfMRI connectivity (ICA100 edge 464)	1
rfMRI connectivity (ICA100 edge 471)	1
rfMRI connectivity (ICA100 edge 485)	1
rfMRI connectivity (ICA100 edge 488)	1
rfMRI connectivity (ICA100 edge 495)	1
rfMRI connectivity (ICA100 edge 52)	1
rfMRI connectivity (ICA100 edge 605)	1
rfMRI connectivity (ICA100 edge 659)	1
rfMRI connectivity (ICA100 edge 810)	1
rfMRI connectivity (ICA100 edge 995)	1
rfMRI connectivity (ICA25 edge 132)	1
rfMRI connectivity (ICA25 edge 65)	1
rfMRI connectivity ICA-features 1	1
rfMRI connectivity ICA-features 3	1
Right lateral prefrontal cortical growth	1
Right ventricular end diastolic volume	1
RR interval (heart rate)	1
Salmon liking	1
Schizophrenia, schizoaffective disorder or bipolar disorder	1
Self-rated health	1
Serum 25-Hydroxyvitamin D level variance	1
Serum cancer antigen 19.9 levels	1
Serum carcinoembryonic antigen levels	1
Serum levels of protein APBB2	1
Serum levels of protein BPIFA2	1
Serum levels of protein BTNL8	1
Serum levels of protein C6orf58	1
Serum levels of protein CASC4	1
Serum levels of protein CCL25	1
Serum levels of protein CCL28	1
Serum levels of protein CD200R1L	1
Serum levels of protein CEP57	1
Serum levels of protein CHST15	1
Serum levels of protein CSGALNACT2	1
Serum levels of protein CTSF	1
Serum levels of protein CXCL11	1
Serum levels of protein DEFB119	1
Serum levels of protein F8	1
Serum levels of protein FAM177A1	1
Serum levels of protein FAM3B	1
Serum levels of protein FAM3D	1
Serum levels of protein FUT3	1
Serum levels of protein GKN2	1
Serum levels of protein GNS	1
Serum levels of protein GOLM1	1
Serum levels of protein ICAM2	1
Serum levels of protein IFI16	1
Serum levels of protein IGF1	1
Serum levels of protein KIN	1
Serum levels of protein KLRC3	1
Serum levels of protein KMT2C	1
Serum levels of protein LCT	1
Serum levels of protein LPO	1
Serum levels of protein LRP1B	1
Serum levels of protein LRRC32	1
Serum levels of protein MANF	1
Serum levels of protein MAPK8	1
Serum levels of protein MBL2	1
Serum levels of protein NADK	1
Serum levels of protein NCAM1	1
Serum levels of protein PIP	1
Serum levels of protein PNLIPRP2	1
Serum levels of protein PNPLA2	1
Serum levels of protein PRDX6	1
Serum levels of protein PRG3	1
Serum levels of protein SECTM1	1
Serum levels of protein SHANK3	1
Serum levels of protein SUMF1	1
Serum levels of protein TBCA	1
Serum levels of protein TCN1	1
Serum levels of protein THPO	1
Serum levels of protein VIMP	1
Serum lipase activity	1
Serum thyroid-stimulating hormone levels	1
Serum urate levels	1
Serum zinc levels	1
Severe COVID-19 infection with respiratory failure (analysis I)	1
Severe COVID-19 infection with respiratory failure (analysis II)	1
Sexual dysfunction (SSRI/SNRI-related)	1
Sexual orientation	1
Sib-shared facial trait 399; Facial segment 11; 3D morphology of the nose	1
Sib-shared facial trait 828; Facial segment 45; 3D morphology of the nose alae	1
Sib-shared facial trait 976; Facial segment 60; 3D morphology of the eye sockets	1
Sjögren's syndrome	1
Skin cancer	1
Small vessel stroke (CCS or TOAST classification)	1
Smoking behaviour (age at first cigarette)	1
Smoking initiation (ever vs never)	1
Social autistic-like traits	1
Sonic hedgehog protein levels	1
Sphingolipid d18:1/d18:2 ratio	1
Sphingomyelin(42:0)_[M+OAc]1- levels	1
Spirits liking	1
Spleen iron concentration	1
Spread type: Butter and margarine spreads vs oil-based spreads (UKB data field 1428)	1
Spread type: Flora Pro-Active/Benecol (UKB data field 1428_2)	1
Squamous cell carcinoma	1
SSC-A on CD14+ monocyte	1
SSC-A on monocyte	1
Stroke (ischemic)	1
Subiculum volume	1
Subjective wellbeing conditioned on average household income before tax (multi-trait conditioning and joint analysis)	1
Subjective wellbeing conditioned on cognitive performance (multi-trait conditioning and joint analysis)	1
Subjective wellbeing conditioned on educational attainment (multi-trait conditioning and joint analysis)	1
Subjective wellbeing conditioned on highest math class (multi-trait conditioning and joint analysis)	1
Subjective wellbeing conditioned on self-rated math ability (multi-trait conditioning and joint analysis)	1
Subjective wellbeing conditioned on Townsend deprivation index (multi-trait conditioning and joint analysis)	1
Succinylcarnitine (c4-dc) levels	1
Sudden cardiac arrest in coronary artery disease	1
Suicide attempts	1
Supramarginal gyrus volume	1
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)	1
Systolic blood pressure in sickle cell anemia	1
T cell Absolute Count	1
Tea without sugar liking	1
Telomere length	1
Terrisporobacter othiniensis abundance in stool	1
TestASV_12 (Bacteroides) abundance	1
TestASV_4 (Alistipes) abundance	1
Tetralogy of Fallot	1
Thalamus volume	1
Thrombomodulin levels	1
Thrombosis	1
Thyroid peroxidase antibody levels	1
Tissue factor levels	1
Total Alkenylphosphatidylethanolamine levels	1
Total Alkyldiacylglycerol levels	1
Total cerebellar volume	1
Total cholesterol levels in LDL	1
Total Dehydrocholesteryl ester levels	1
Total GM3 ganglioside levels	1
Total hippocampal volume	1
Total Lysoalkenylphosphatidylethanolamine levels	1
Tourette's syndrome or obsessive-compulsive disorder	1
TRAIL levels	1
Trauma exposure in major depressive disorder	1
Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL	1
Trochanter size	1
Trunk lean mass	1
Tumor necrosis factor levels	1
Tumor necrosis factor receptor 2 levels	1
Turicibacter abundance in stool	1
Turicibacter sp001543345 abundance in stool	1
Turicibacteraceae abundance in stool	1
Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	1
Type 2 diabetes (time to event)	1
UBA3855 sp900316885 abundance in stool	1
Ubiquitin-like protein ISG15 levels	1
Urinary uric acid excretion	1
Uterine fibroids	1
Vegetable consumption	1
Venous thromboembolism or factor XI levels (pleiotropy)	1
Venous thromboembolism or plasminogen activator inhibitor 1 levels (pleiotropy)	1
Venous thromboembolism or tissue plasminogen activator levels (pleiotropy)	1
Vogt-Koyanagi-Harada syndrome	1
von Willebrand factor levels	1
vWF levels in ischaemic stroke and hyperhomocysteinaemia	1
Waist-to-hip ratio adjusted for BMI x sex interaction	1
Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	1
Warfarin dose variability	1
Whiskey liking	1
White blood cell count (basophil)	1
White blood cell count (eosinophil)	1
White blood cell count (lymphocyte)	1
White blood cell count (neutrophil)	1
White matter lesion progression	1
White matter microstructure (mode of anisotropy)	1
X-11795 levels	1
X-25790 levels	1
